created,text,retwc,hashtag,followers,friends
10-09-2021 17:14,"b'Every one becoming a #bigtech one day will choke. Also, when it is choking, you know it is Big Tech. Like, buying\xe2\x80\xa6 https://t.co/Mhm1Ikw11R'",0,bigtech,280,240
10-09-2021 17:12,b'#SayanGhosh received the green cap for being the leading wicket taker till now in the #BYJUS #BengalT20Challenge \nT\xe2\x80\xa6 https://t.co/lYWv8XpO3j',0,SayanGhosh,6602,158
10-09-2021 17:10,b'RT @Winter_Souljour: Byjus scam \xf0\x9f\x99\x84 https://t.co/ku8jPRzBt9',57,None,81,350
10-09-2021 17:03,"b""EdTech platforms that can help you in 'Study from Home' | Technology News \xe2\x80\x93 India TV\n\nhttps://t.co/VOCmSIns0I\n\n #BYjUS #edtech""",0,BYjUS,4,24
10-09-2021 17:01,"b""GeekDad: BYJU's Learning App and Magic Workbooks\nhttps://t.co/jKCgFqKIYO https://t.co/I7Qkj3o0LD""",0,None,3298,3039
10-09-2021 16:56,b'@ByjusSupport @Neeraj_chopra1 @BYJUS I did DM you my number as well as the numbers that I got those abusive calls f\xe2\x80\xa6 https://t.co/5ayUQsdyhp',0,None,27,212
10-09-2021 16:55,b'#DurgapurDazzlers beat #BarrackporeBlasters to register their second win of the tournament in a rain affected match\xe2\x80\xa6 https://t.co/s96Gmym4Jx',0,DurgapurDazzlers,6602,158
10-09-2021 16:53,b'BB vs KB Dream11 Prediction | Match 10 | BYJU\xe2\x80\x99S Bengal T20 Challenge\xc2\xa02021 https://t.co/qUyyy9Gg35',0,None,264,503
10-09-2021 16:53,b'BB vs KB Dream11 Prediction | Match 10 | BYJU\xe2\x80\x99S Bengal T20 Challenge\xc2\xa02021 https://t.co/3phcAHt7gp',0,None,563,729
10-09-2021 16:53,"b'@jomayra_herrera @BYJUS @nmasc_ @Accenture @HarvardHBS Didn\xe2\x80\x99t see the hidden workers, untapped talent article yet. Thank you for sharing!'",0,None,61973,44056
10-09-2021 16:52,b'RT @jomayra_herrera: 3/ what are we reading? \n\n\xf0\x9f\x93\x9a@BYJUS plans on accelerating IPO https://t.co/1MVe7aaUT0\n\xe2\x9a\xa1\xef\xb8\x8f@nmasc_ digs into cohort-based c\xe2\x80\xa6',1,None,61973,44056
10-09-2021 16:50,b'RT @murlima34122629: @ByjuRaveendran @BYJUS  @ByjusSupport CUSTOMER SATISFACTION RATIO IS NOW BECOMING ZERO #onlineclasses  #customerfeedba\xe2\x80\xa6',1,onlineclasses,2,2
10-09-2021 16:50,b'@ByjuRaveendran @BYJUS  @ByjusSupport CUSTOMER SATISFACTION RATIO IS NOW BECOMING ZERO #onlineclasses\xe2\x80\xa6 https://t.co/INPwWrzHia',1,onlineclasses,2,2
10-09-2021 16:49,b'Digital learning is real-world learning. That\xe2\x80\x99s why blended on-campus and online study is best\xe2\x80\xa6 https://t.co/6PSpe1PEjx',0,None,3,14
10-09-2021 16:46,"b'RT @thekaipullai: 2000 years later, some stories would go like this\n\nOnce upon a time there lived a poor teacher in a village. He taught st\xe2\x80\xa6'",30,None,5,64
